from,to,n
Mike Stoller,Jerry Leiber,15
Ferdinand E. Marcos,Corazon C. Aquino,15
Lyndon B. Johnson,Joseph R. McCarthy,15
Sammy Davis Jr.,John F. Kennedy,15
Robert Kennedy,Richard M. Nixon,15
Richard M. Nixon,George S. McGovern,15
Max Roach,Charlie Parker,15
Paul Taylor,Martha Graham,15
Lyndon B. Johnson,Eugene J. McCarthy,15
Charlie Parker,Billie Holiday,15
Judy Garland,Gene Kelly,15
Richard M. Nixon,Eugene J. McCarthy,15
Marlon Brando,Gary Cooper,15
John Kander,Fred Ebb,14
John Cage,Jasper Johns,14
Mickey Rooney,Judy Garland,14
Martha Graham,John Martin,14
Willie Nelson,Waylon Jennings,14
Geoffrey Beene,Bill Blass,14
Yasir Arafat,Shimon Peres,14
John F. Kennedy,Douglas MacArthur,14
Spiro T. Agnew,John F. Kennedy,14
Eric Clapton,Bob Dylan,14
Rudolf Nureyev,Mikhail Baryshnikov,14
Leonard Bernstein,Betty Comden,14
Ronald Reagan,Jesse Helms,14
Robert Motherwell,Mark Rothko,14
John F. Kennedy,George McGovern,14
Elvis Presley,Dean Martin,14
Judy Garland,Joan Crawford,14
Eleanor Roosevelt,Dwight D. Eisenhower,14
Leonard Bernstein,Igor Stravinsky,14
Down Beat,Charlie Parker,14
Ronald Reagan,Bob Dole,14
Claes Oldenburg,Andy Warhol,14
Quincy Jones,Dizzy Gillespie,14
Woody Herman,Benny Goodman,14
Judy Garland,Fred Astaire,14
John S. Wilson,Benny Goodman,14
Frank Sinatra,Dizzy Gillespie,14
John Martin,George Balanchine,14
John McCain,George W. Bush,14
Stevie Wonder,Smokey Robinson,14
Thurgood Marshall,Martin Luther King Jr.,14
Richard M. Nixon,Earl Warren,14
Judy Garland,Bing Crosby,14
Joan Crawford,Greta Garbo,14
Robert Rauschenberg,Frank Stella,14
Stan Getz,Ella Fitzgerald,14
