from,to
Patricia Brooks Mann,Peter Falk
Marni Nixon,Sarah Caldwell
Marcus G. Christ,Mill Neck
Chuck Fairbanks,Billy Sullivan
Miriam Coln,Mel Gussow
Morton Kline,Ellen Furman
Norman Panama,Lucille Ball
A. S. Frere,John Steinbeck
Budd Granoff,Jerry Lewis
Terry Moore,Enos Slaughter
John Oliver Killens,Audre Lorde
Walter Becker,Barbra Streisand
Bernie Casey,John Slade
Donald T. Campbell,Donald W. Fiske
Los Angeles,Sam Phillips
Ann C. Whitman,Nelson A. Rockefeller
Laszlo Tauber,Raoul Wallenberg
Robert J. Hausman,Nancy Reagan
Mexico City,Gabriel Garca Mrquez
Peter Lipman-Wulf,Karl Bohm
Alan Jay Lerner,Rex Harrison
Anthony Franciosa,Marlon Brando
Yao Wenyuan,Zhang Chunqiao
Murray Schwartz,Jack Lawrence
Buell Mullen,Jacqueline Cochran
Larry Kelley,Doc Blanchard
Blake Edwards,Peter Sellers
Pete Seibert,Earl Eaton
Kingman Brewster Jr.,Nelson A. Rockefeller
Clayton S. White,Abraham Lincoln
James Jerome Dwyer,James J. Dwyer
John Furia Jr.,Bob Hope
Argentina Brunetti,Desi Arnaz
Abraham D. Beame,Robert F. Wagner Jr.
Alexander Schneider,Ralph Kirkpatrick
Robert Starer,Martha Graham
PETER KIHSS Gregory Breit,Edward Teller
Robert Douglas,Joan Fontaine
Patsy Kelly,Tallulah Bankhead
Seymour Martin Lipset,Daniel Bell
Collier Young,Joan Fontaine
C. Z. Guest,Truman Capote
Robert G. Morvillo,Martha Stewart
Jack Sameth,Howard K. Smith
Howard Moss,James Dickey
Hugh Wheeler,George Grizzard
Ray McKinley,Will Bradley
G. Harrold Carswell,Lyndon B. Johnson
Leonard Bernstein,Nelson A. Rockefeller
Lewis F. Powell Jr.,John N. Mitchell
Natalie Schafer,Danny Kaye
Mr. Castro,Fidel Castro
Jean Poiret,Michel Serrault
Joan Sutherland,Andrew Porter
Sarah Vaughan,Norman Granz
George Grizzard,Edward Albee
Irene Worth,Elisabeth Bergner
Horst P. Horst,Bill Blass
Night Train Lane,Pat Summerall
New York,Morton Gould
James Q. Wilson,Lyndon B. Johnson
George Voskovec,Walter Kerr
Eileen Farrell,Harold C. Schonberg
Michael Henry Heim,Gnter Grass
J. D. Salinger,Harold Brodkey
Estelle R. Ramey,John F. Kennedy
Menachem Froman,Yasir Arafat
Jerry S. Parr,Ronald Reagan
Elaine Kaufman,Elaine Stritch
Myron Cope,Howard Cosell
Paddy Chayefsky,Alger Hiss
Ingrid Sischy,Gianni Versace
Stanley Platos,Mary Tyler Moore
Grady Tate,Peter Richmond
Marcia Simon Weisman,Norton Simon
Marie Windsor,Marilyn Monroe
Dick Campbell,Louis Armstrong
Walter Bowart,Allen Ginsberg
Harriet Richardson Sappington,Richard Eder
Veronica Castang,Art Carney
David S. Seeley,Kenneth B. Clark
Innokenty Smoktunovsky,Bosley Crowther
Lee Solters,David Merrick
Cy Coleman,Madeline Kahn
Joseph Losey,Dirk Bogarde
Tommy Tedesco,Barbra Streisand
James Prideaux,Katharine Hepburn
Youssef Chahine,Naguib Mahfouz
Ivan Nagy,Antony Tudor
Stanley Kramer,Fredric March
Paul Mazursky,Peter Sellers
Gene Autry,Roy Rogers
Herbert P. Patterson,David Rockefeller
Jean Le,Jean Anouilh
Richard Bright,Dustin Hoffman
Kenneth Joseph Lenihan,John Jay
Ernest Kinoy,Jack Klugman
Howard Sackler,Robert Whitehead
Paul Fromm,Milton Babbitt
Jack Towers,Dizzy Gillespie
Lloyd Bentsen,Dan Quayle
Lawson P. Ramage,Joan Mitchell
Agostino Cardinal Casaroli,John XXIII
Freidann Parker,Shirley Temple
Carline Ray,Patti Page
Ann Doran,Bing Crosby
Michael Cromartie,Irving Kristol
Dennis Yost,Buddy Buie
Richard M. Nixonnailing,George C. Wallace
Edward J. Piszek,Warren E. Burger
Ann Barzel,Violette Verdy
Herman Goldfarb,Woody Herman
Dean Brooks,Saul Zaentz
Howard Rumsey,Jimmy Giuffre
Boxcar Willie,Hee Haw
Betty Parsons,Agnes Martin
Rosemary Clooney,Ira Gershwin
John Springer,Eddie Fisher
Douglas Slocombe,Maggie Smith
Mary Brian,Cary Grant
Gabriel Laderman,Jack Beal
Gene Sarazen,Bob Jones
Birgit Nilsson,Leonie Rysanek
Tennessee Williams,Geraldine Page
Susan K. Kamen,Murray Klein
Rod Kanehl,George Weiss
Henry McCullough,James Bond
Joseph Sargent,Peter Stone
Butch Morris,Leonard Bernstein
Terence Young,Laurence Olivier
Craig Logan Jackson,David F. Sanders
Ernest L. Boyer,Gerald R. Ford
Guy Mitchell,Teresa Brewer
Helen Hobbs Jordan,Paul Simon
Harry James,Irving Goodman
Vincent R. Impellitteri,Thomas E. Dewey
Luigi B. Vercelli,Richard Burton
Miles Davis Quintet,Joe Jones
Richard W. Jennings,John F. Kennedy
James Moroka,Walter Sisulu
Richard J. Egan,George W. Bush
Susan Fromberg Schaeffer,Greta Garbo
Claude Chabrol,Alfred Hitchcock
Helen Cohn,Dale Evans
Milton Taylor,Ralph Taylor
Lee Gannon,Robert Morris
Michael Baxandall,Ernst Gombrich
Vincent T. Bugliosi,Susan Atkins
Sydney Zelinka,Carol Burnett
Jim Marshall,Bob Dylan
Magnum Photos,Frank Capra
Mary Lutyens,Martin Levin
Ted Radcliffe,Jackie Robinson
Nat Hentoff,Artie Shaw
Cissie Spiro Aidinoff,Edmund S. Muskie
Albert Murray,Joseph Mitchell
Goro Yamaguchi,Robert Palmer
David Westheimer,Patty Duke
Leon Barzin,George Balanchine
Barry H. Gottehrer,Dick Schaap
David W. Brumbaugh,Glen Head
Doris Tillett,Jacqueline Kennedy
Frank Hodsoll,Mario Biaggi
Waylon Jennings,Chet Atkins
Rocky Graziano,Sugar Ray Robinson
Retired Adm. George Whelan Anderson,John F. Kennedy
Daniel K. Inouye,Bill Clinton
Britain's Reversi,Goro Hasegawa
William Randolph Hearst Jr.,Orson Welles
Morton Schindel,Meryl Streep
Paul Blair,Tommie Agee
Minna Lederman,Aaron Copland
Robert Easton,Meyer Lansky
John Tchicai,Alan Roth
Eric Burroughs,Orson Welles
Crown Prince,Franklin D. Roosevelt
Paul Rothchild,Jim Morrison
William P. Homans Jr.,Endicott Peabody
Jeanne S. Chall,Bruno Bettelheim
Martin Richards,Paul Newman
Vladimir Pasechnik,Boris N. Yeltsin
Primo Nebiolo,Monte Carlo
Gen. William C. Westmoreland,Clark M. Clifford
Walter Hendl,Zvi Zeitlin
Peter J. Donoghue,John V. Lindsay
Don Kirshner,Gerry Goffin
Owen McGivern,Abraham D. Beame
Everett Kircher,Arnold Palmer
Louise Averill Svendsen,James Johnson Sweeney
Duke Ellington,Ray Nance
Benjamin Karp,Franklin D. Roosevelt
Bobby Hutcherson,Ray Charles
L. Arthur Larson,John F. Kennedy
Stephen Schlossberg,Ronald Reagan
Patricia Knatchbull,Martin McGuinness
Elvis Presley's,Johnny Cash
R. Sargent Shriver,Richard M. Nixon
Rudolf Serkin,Eugene Ormandy
Paul O'Dwyer,Lyndon B. Johnson
Robert H. Bork,Jimmy Carter
Milt Jackson,Ray Brown
Bernard Newman,Nelson A. Rockefeller
Beatrice Straight,Michael Straight
Jean Ruth Hay,Benny Goodman
Bob Perry,Bill Miller
Sydney Gruson,Flora Lewis
Hamish Hamilton,Truman Capote
Stephen Marlowe,Richard S. Prather
Mary Livingstone,Jack Benny
Jane Montant,Richard Condon
Joseph E. Levine,Alberto Moravia
Gary Cartwright,Candy Barr
Murray Louis,Alwin Nikolais
Gene Woodling,Jerry Coleman
John McMartin,Carol Burnett
Peter L. Feller,Boris Aronson
Michael Todd Jr.,Elizabeth Taylor
Otto Preminger,William Holden
Farrell Dobbs,Dave Beck
Horst Rechelbacher,Yves Rocher
Charles J. Garrity,William T. Cahill
Alexandra Danilova,George Balanchine
Gen. William P. Yarborough,John F. Kennedy
Robert Fizdale,George Balanchine
Matthew B. Ridgway,James M. Gavin
Ira Tucker,Michael Jackson
Robert H. Brooks,Alan Kulwicki
Freddie Steele,Al Hostak
Claydes Charles Smith,George Brown
Bernard Rapoport,Hillary Rodham Clinton
Katharine Graham,Arthur Ochs Sulzberger
George Gruntz,Gil Evans
Jesse Helms,Ronald Reagan
Cosmo Allegretti,Bob Keeshan
Glenn Presnell,Sam Dana
Jack Paar,Howard Hughes
Midi Garth,John Martin
William Coblentz,Eldridge Cleaver
Hermes Pan,Irving Berlin
Charles J. Rolo,Isaiah Berlin
Richard Pousette-Dart,Robert Motherwell
David Horowitz,Bette Davis
William E. Barrett,Sidney Poitier
Mary Keefe,Wan Li
Hal Kanter,Jerry Lewis
Chocolate Armenteros,Tito Puente
Rita Gam,Sidney Lumet
Don Ultang,Johnny Bright
Noel Willman,Michael Kanin
Tim Taylor,John I. Taylor
Frank O. Braynard,Bill Miller
Gareth Wigan,Marilyn Monroe
Jean Eckart,Carol Burnett
Marlon Brando,Christian Brando
Edgar M. Villchur,Henry Kloss
Peg Lynch,Margaret Hamilton
Ethel Redner Scull,Robert Morris
Gloria Davy,Karlheinz Stockhausen
George Axelrod,Frank Sinatra
Robert Vaughn,Leslie Nielsen
Joe Smith,George Burns
Suzanne Pleshette,Jerry Lewis
Leon Edel,Francis Steegmuller
Harry Rigby,Mickey Rooney
Eldar Ryazanov,Mikhail S. Gorbachev
Bill Sharman,Wilt Chamberlain
Andre Putman,Jack Lang
John Carl Warnecke,Paul B. Fay Jr.
Rachmael Weinstock,Roth Quartet
T. Newman Lawler,Irving Berlin
Kris Kross,Michael Jackson
Jim Dickinson,Bob Dylan
Clifford Jordan,Billy Higgins
Paul Henning,Earl Scruggs
Marvin S. Traub,Massimo Vignelli
Rose Mary Woods,Richard M. Nixon
Alistair MacLean,Richard Widmark
Ed Franco,Jim Crowley
Burton Lane,Alan Jay Lerner
Ken Russell,Oliver Reed
Glenn Jr.,Roger E. Green
Mary French Rockefeller,Laurance S. Rockefeller
Sid Tepper,Al Martino
Philip C. Habib,Henry Cabot Lodge
Cathy Berberian,Hans Werner Henze
Nancy Reagan,Barry Goldwater
Raisa Struchkova,Maya Plisetskaya
Walter E. Mattson,Susan E. Tifft
Axis Sally,Rita Hayworth
Kermit I. Lansner,Gordon Manning
John Quade,Clint Eastwood
Stan Davis,Bob Hope
Editta Sherman,Cary Grant
Judi Ann Mason,Theodore Mann
Ernie K-Doe,James Brown
Norman Taurog,Jerry Lewis
Al Molinaro,Jack Klugman
Katy Jurado,Burt Lancaster
Alice Manheim Kaplan,Paul E. Manheim
Michael S. Harper,Stephen Spender
Viveca Lindfors,Ralph Meeker
Adolph Green,Saul Chaplin
Mose Allison,Gerry Mulligan
Michael Wayne,Warren Cowan
Robert L. B. Tobin,Rene Magritte
Bobby Pratt,Georgie Auld
Gladyce Largever Begelman,Lewis Rudin
Jerome Weidman,Jerry Bock
Emil Gilels,Eugene Ormandy
David S. Seeley,Francis Keppel
Edward Nason West,George Balanchine
Leslie H. Martinson,Mickey Rooney
Richard Avedon,Irving Penn
Fred Plum,Karen Ann Quinlan
Harry Crane,Borscht Belt
Joseph A. Ball,Lyndon B. Johnson
Ruth Brown,Willis Conover
Floyd Cramer,Chet Atkins
David D. Thompson,John Ellis
Evan G. Galbraith Jr.,Francois Mitterrand
Cristina Bozzo,Roy Lichtenstein
Stefan Schnabel,Friedrich Durrenmatt
Luther Adler,Stella Adler
J. B. Priestley,Jacquetta Hawkes
Helen Gee,Ansel Adams
Russell M. Saunders,Richard Widmark
Gene Tierney,Dana Andrews
Louis Joxe,Georges Pompidou
Vere C. Bird,Saddam Hussein
Frederic V. Grunfeld,John Gross
Chien-Shiung Wu,Luke C. L. Yuan
Edward Albee,Richard Burton
Frances Ginsberg,Renata Tebaldi
Lord Duncan-Sandys,Edward Heath
John Reese Stevenson,Ruth Carter Stevenson
Ivan Nagy,Michael Smuin
Ruth Prawer Jhabvala,Ismail Merchant
Alan Bates,Richard Harris
Mattityahu Peled,Yasir Arafat
Andrew Lytle,Donald Davidson
Sidney S. McMath,Strom Thurmond
Valley Presbyterian Hospital,Stan Kenton
Morris Golde,John Ashbery
Arthur M. Schlesinger Jr.,Jacqueline Kennedy
Eugenia Sheppard,Geraldine Stutz
Robert O. Fishel,Lee MacPhail
Howard Garfinkel,John Wooden
Erick Hawkins,Virgil Thomson
William D. Hutchinson,Edward R. Becker
Get Smart,Elvis Presley
Peter Ustinov,Mikhail S. Gorbachev
Beni Montresor,Federico Fellini
Joe McCluskey,Henry Laskau
Nora Sayre,Oona Chaplin
Dexter Douglass,Al Gore
Max Roach,George Morrow
Lou Levy,Sammy Cahn
Tom Koch,Pat Paulsen
William Humphrey,Vincente Minnelli
Socrates K. Butsikares,Sydney Gruson
David Tudor,Karlheinz Stockhausen
Romy Schneider,Woody Allen
Parke Cummings,Robert Osborn
Rosa Slade Gragg,Franklin D. Roosevelt
Howard J. Phillips,Richard M. Nixon
Cary Grant,Marlene Dietrich
Ade Thomas Milhorat,Eleanor Gehrig
Joan Mondale,Richard Diebenkorn
Henry A. Loeb,Henry Loeb
Ashton Springer,Edward Albee
Richard M. Nixonnailing,Ronald Reagan
William S. Paley,Kate Smith
Al Hall,Hazel Scott
Howard Strickling,Greta Garbo
Helen Humes,Jonah Jones
Stanley Karnow,Richard M. Nixon
William F. Buckley Jr.,Ayn Rand
Kenny Wheeler,John Dankworth
Ella Fitzgerald,Bing Crosby
Frederick Fennell,Leonard Bernstein
Rachel Wetzsteon,Ross Wetzsteon
Helen O'Connell,Rosemary Clooney
Yehuda Amichai,Ted Hughes
Paula Fox,Clement Greenberg
Elizabeth Stevenson,Bryn Mawr
Philip Sterling,Pierre Boulez
John J. Ghezzi,Malcolm Wilson
Bob Schiffer,Fred Astaire
Max Berking,Max Lerner
Douglas V. Fowley,Claire Trevor
Bill Davidson,Bloomfield Hills
Richard Murphy,Elia Kazan
Lillian Vallish Foote,Horton Foote
Elizabeth Shoumatoff,Peter Hurd
The Second Sex,Alfred A. Knopf
George W. Dean Jr.,Howard R. Hughes
Thomas R. Dashiell,Richard M. Nixon
Carl E. Sanders,George C. Wallace
Theodore D. Nierenberg,Jens Quistgaard
Leslie W. Dunbar,Ralph McGill
Iris Adrian,Lester Glassner
John Russell,Lucian Freud
Emir Rodriguez Monegal,Jorge Luis Borges
Peter Quennell,Kenneth Clark
Carlos P. Romulo,Stephen W. Bosworth
Robert Taft Jr.,Howard M. Metzenbaum
Carl F. H. Henry,Paul B. Henry
Billy Vessels,Eddie Crowder
Janet Ward,Dick Shawn
Humberto Cardinal Medeiros,Thomas V. Daily
Philip Birnbaum,Philip Johnson
Mao Anqing,Mao Zedong
Neville Brand,Charlton Heston
John Berry,Richard Wright
Charles P. Kindleberger,George C. Marshall
Mitchell Rogovin,Richard M. Nixon
Arthur Schwartz,Jerry Orbach
Richard Waring,Jessica Tandy
Eugene P. Wigner,Edward Teller
Marie Cosindas,Richard Merkin
Jacques Cardinal Martin,John Paul
William Weaver,Oriana Fallaci
Glenn T. Seaborg,Luis W. Alvarez
Jean Riboud,Francois Mitterrand
William Clay Ford,David Horowitz
J. David Kuo,Edward M. Kennedy
Mary Johnson Lowe,Robert Johnson
Theodore McCarty,Jimi Hendrix
Harold U. Ribalow,Henry Roth
Mary Ann Herman,Michael Herman
Hy Averback,Bob Hope
Edward Weinfeld,William J. Brennan Jr.
Leon Jaworski,Henry S. Ruth Jr.
Dame Judith Anderson,Luther Greene
Katie Louchheim,John F. Kennedy
Joe Wilder,Benny Goodman
George Mueller,Richard M. Nixon
Abraham Brumberg,Joe Glazer
Kumar Pallana,Wes Anderson
Colin Chapman,Jim Clark
John H. Kearney,Francis J. Mugavero
David Landau,Queen Elizabeth II
Philip J. Ryan,Tinton Falls
Ellery J. Chun,Frank Sinatra
Jonathan Thomas,Edward Albee
Jim Delsing,Ed Linn
Solomon D. Altchek,Salvator Altchek
Fred Levy Jr.,Bob Hope
Hewitt D. Crane,Douglas C. Engelbart
Tony Scott,Sarah Vaughan
Mel Ferrer,Jane Wyman
Tom Landry,Jim Katcavage
Artur Balsam,Beveridge Webster
Gail Robinson,Alfredo Kraus
Carlos Marcello,John F. Kennedy
Phyllis Schlafly,Allen Ginsberg
Harry Karl,Eddie Fisher
Sigmund Diamond,Herbert Mitgang
Judith Crist,Billy Wilder
Yvonne King Burch,Artie Shaw
Eugene Kennedy,John XXIII
William Russell Mote,Longboat Key
Jimmy Greenspoon,Jimi Hendrix
Todd Bolender,George Balanchine
Sol Leon,Garry Moore
Don McGuire,Frank Sinatra
T. E. B. Clarke,Alec Guinness
Sandy Dennis,Gloria Grahame
Alison L. Gertz,Elizabeth Glaser
Warren Leslie,Bethel Leslie
George Bernard Shaw,Lillian Gish
George C. Scott Jr.,George C. Scott
Patricia Neal,Gary Cooper
Arnold M. Grant,Lana Turner
Mac Charles Jones,Ku Klux Klan
Teddy Pendergrass,Whitney Houston
Richard R. Green,Albert H. Bowker
Jean Louis,John F. Kennedy
John Musilli,Ronald Reagan
Jack Cummings,Elvis Presley
Peter Cookson,Abe Burrows
Bill Peterson,Don James
Samuel M. Ehrenhalt,Edward I. Koch
Ralph Thomas,Alec Guinness
Fletcher Knebel,Fredric March
John J. Wilson,Richard M. Nixon
Michael P. Hammond,Robert Mapplethorpe
Floyd Red Crow Westerman,Lakota Sioux
Wes Hill,Niagara Falls
Arkady N. Shevchenko,Andrei A. Gromyko
David Rockefeller,Ronald Reagan
Arthur Martin,Margaret Thatcher
Laurance S. Rockefeller,David Rockefeller
Jacques Barzun,George W. Bush
Carolyn Rodgers,Gwendolyn Brooks
Leo Morgan,Benny Goodman
Jean Fair Mitchell,Millicent Carey McIntosh
Toru Takemitsu,Hiroshi Teshigahara
M. F. K. Fisher,Robert Lescher
Avery Fisher,Charles Fisher
Charles A. Schoeneck Jr.,Malcolm Wilson
Jim Hager,Buck Owens
Spiro T. Agnew,George McGovern
Robinson Risner,Lyndon B. Johnson
James C. Parkes II,Red Holzman
Robert Lawrence Balzer,Robert Mondavi
Mr. Williams,Edward Bennett Williams
Richard Wilbur,Robert Penn Warren
Joseph S. Tushinsky,Robert Joseph
John R. Strachan,Lyndon B. Johnson
Walter B. Wriston,John F. McGillicuddy
Andy Rooney,Garry Moore
John De Prospo,Seymour Siegel
Joachim Jean Aberbach,Jerry Leiber
Leonard Probst,Jack Gould
Howard Cosell,Muhammad Ali
Del Reeves,Johnny Cash
Roy C. Olson,Natalie Holland
T.H. Watkins,Franklin D. Roosevelt
Michael Shurtleff,Joan Hackett
Berenice Bramson,Ross Parmenter
John T. Hughes,Gerald R. Ford
Robert Van Scoyk,Peter Falk
Joe Albany,John S. Wilson
Andor Lilienthal,Max Euwe
Robert Loggia,Rocky Graziano
Porfirio Delgado,Theodore Bikel
Ingmar Bergman's,Gunnar Fischer
David Merrick,Stanley Kauffmann
G. David Schine,Robert T. Stevens
Bob Denver,Natalie Schafer
James Moody,Dizzy Gillespie
William Rockefeller,John D. Rockefeller Sr
Lucio F. Russo,John J. Marchi
Lewis Rudin,John D. Rockefeller
Thomas J. McIntyre,Eugene J. McCarthy
Joseph M. Fox,Alfred A. Knopf
Jean Ruth Hay,Tokyo Rose
Richard Kiel,Gene Wilder
Madelyn Pugh Davis,Bob Schiller
Mary Martin,Marlene Dietrich
Hugh McCracken,Bob Dylan
Carole Caldwell Graebner,Katharine Hepburn
Spike Milligan,Harry Secombe
Dorothy Provine,Buddy Hackett
James Gibson,Nelson A. Rockefeller
Lynne F. Stewart,Staten Island
Robert Nathan,Cary Grant
David C. Utz,Lewis F. Powell Jr.
Benjamin Mordecai,Jason Robards
Jonathan Schell,William Shawn
Lloyd Shearer,Walter Anderson
Charles Blitzer,Daniel Patrick Moynihan
Horace Gregory,Marya Zaturenska
Samuel J. LeFrak,Abraham Lincoln
Philip Rapp,Don Ameche
Herschell Gordon Lewis,Harvey Korman
Anna Sosenko,Walter Winchell
Sugar Ray Robinson,Carmen Basilio
Karel Shook,Billy Wilson
Larry Ellis,Robin Williams
Martin Drew,Ella Fitzgerald
Vic Gold,George W. Bush
Marguerite Chapman,Glenn Ford
Jack Raymond,John F. Kennedy
Howard C. Petersen,John F. Kennedy
Ward Swingle,Alice Tully
Jacques Fauvet,Alain Peyrefitte
Marv Rotblatt,Bob Cain
Richard G. Darman,Bill Clinton
Barry Hannah,John Updike
John Paul McConnell,Robert S. McNamara
John M. Angelo,George W. Bush
Joseph F. Kauffman,John F. Kennedy
William Jay Smith,Barbara Howes
L. M. Kit Carson,Karen Black
Rene A. Wormser,Felix E. Wormser
Cy Feuer,Ray Bolger
Joe DeRita,Joe Besser
Peter Lind Hayes,Grace Hayes
Freddie Fields,Fred Feldman
Halfdan Mahler,James P. Grant
Jerry Kravat,Lena Horne
Oral Roberts,John Lennon
Jalal Talabani,Mao Zedong
Marie M. Lambert,Lillian Hellman
Argentina Brunetti,Frank Capra
Barry Took,Spike Milligan
Louis Nizer,Donald I. Fine
Rudolf Baranik,Leon Golub
Israel Cachao Lopez,Jose Fajardo
Francis E. Dorn,John F. Kennedy
Hank Garland,George Shearing
Georges Marchais,Francois Mitterrand
Sandy Baron,Merv Griffin
World War II,Maurice Richard
Dave Graue,Vincent T. Hamlin
Mort Lindsey,Lawrence Welk
Karl Crouch Kortum,Walter Cronkite
Virginia Grey,Jane Wyman
Harold H. Harmatz,Nelson A. Rockefeller
Jack Cardiff,Emeric Pressburger
Ole C. Risom,Leo Lionni
Blake Edwards,Jack Lemmon
Harry V. Jaffa,Henry Salvatori
Ben A. Lindberg,George Washington
Jack Good,Roy Orbison
Fred D. Thompson,Al Gore
Bob Merrill,Carol Burnett
Alvy Moore,Eddie Albert
Philip W. Buchen,Richard M. Nixon
Konstantin U. Chernenko,Mikhail S. Gorbachev
Harlon B. Carter,John Carter
Kiss Me Kate,Jack Palance
Jean-Jacques Perrey,Arthur C. Clarke
Byron V. Pepitone,Richard M. Nixon
Virginia B. Smith,Clark Kerr
Gerald S. Elliott,Donald Judd
Les Paul,Louis Armstrong
Irene Dalis,Birgit Nilsson
Frank X. Barron,Paul Meehl
Teddy Wilburn,Ernest Tubb
The March,Alfred A. Knopf
Richard A. Graham,Lawrence Kohlberg
William E. Potter,Robert Moses
Ricky Bell,Heisman Trophy
Paula Jane Baer,Jheri Redding
Grace Roosevelt McMillan,Theodore Roosevelt
Hugh Sidey,George W. Bush
Pontus Hulten,Joseph Beuys
Liz Anderson,Buck Owens
Edwin J. Roland,John F. Kennedy
Harold Louis Humes,Orville Prescott
Moe Biller,Walter F. Mondale
Frank McHugh,James Cagney
Oscar Brand,Pete Seeger
Leon McQuay,Doug Kotar
William W. Scranton,Nelson A. Rockefeller
Helen Forrest,Benny Goodman
Gil Noble,Al Sharpton
Andrew Love,Isaac Hayes
Edison Denisov,Boris Pokrovsky
Roger Troutman,Jimi Hendrix
Joe Nuxhall,Ted Kluszewski
Serge Lifar,Nina Vyroubova
Van Cliburn,Eugene Ormandy
John Herbers,Richard M. Nixon
Margaret Craig McNamara,Carol Burnett
Spencer W. Kimball,Gordon B. Hinckley
Fred Zinnemann,Frank Sinatra
Frances B. Schreuder,Howard Hughes
Corazon C. Aquino,Ronald Reagan
Walter Slezak,Ronald Reagan
Jack Gwillim,Rex Harrison
Ray Stark,George Burns
Thomas J. Corbally,Harold Wilson
Henry Koster,Peggy Moran
Anthony Imperiale,Richard J. Hughes
Bobby Pratt,Roy Eldridge
Colleen Dewhurst,Joseph Papp
Ante Markovic,Josip Broz Tito
Eddie Futch,Ken Norton
Anthony T. Ulasewicz,Herbert W. Kalmbach
Allen Parkinson,Mary Pickford
Aaron Shikler,Peter Lawford
Kitrosskaya Meiman,Eduard A. Shevardnadze
Isaac Stern,Marian Anderson
Will D. Campbell,Ossie Davis
Eddie Shipstad,James Stewart
Kevin O'Connor,Vaclav Havel
Bruce Reynolds,Ronnie Biggs
Pontus Hulten,Robert Rauschenberg
Vincent Teresa,Meyer Lansky
Dudley Williams,Talley Beatty
Bill Herz,Edith Meiser
Paul Adrian Maurice Dirac,Albert Einstein
Sonny Bono,Fred Silverman
Bernard Katzen,Nelson A. Rockefeller
Leo Jaffe,Otto Preminger
John Szarkowski,Garry Winogrand
Kenneth J. Arrow,Bill Clinton
Thomas Guinzburg,Edward M. Kennedy
Milton R. Rackmil,Bing Crosby
Edward J. Derwinski,Ronald Reagan
Clifford P. Case,Jacob K. Javits
Dorothy Kurgans Goldberg,Arthur J. Goldberg
William L. Hayward,Alfred A. Knopf
Carol Matthau,Sanford Meisner
Bruce Ricker,Brendan Gill
Wilfred Feinberg,Robert F. Kennedy
David F. Powers,Edward M. Kennedy
Benyoussef Ben Khedda,Ahmed Ben Bella
George Cukor,Ingrid Bergman
Ethelbert Ely Furlong,Lady Bird Johnson
Norbert Schultze,Marlene Dietrich
Michael Peters,Gregory Hines
Joo Havelange,Boris N. Yeltsin
F. D. Reeve,Robert Giroux
Buddy Greco,Benny Goodman
George Kell,Ernie Harwell
Silvana Mangano,Ingrid Bergman
John Bury,Kenneth Tynan
James H. Sheils,Elizabeth Arnold
Ryszard Kapuscinski,Wojciech Jaruzelski
John J. Burns,Robert F. Kennedy
William K. Everson,Lindsay Anderson
Lionel Abel,John Gross
Charles Isaacs,Red Skelton
Edna Lewis,Bessie Jones
Lee Sabinson,Richard Widmark
Carmine S. Bellino,John F. Kennedy
William S. Woodside,William F. May
Cornell H. Mayer,Charles H. Townes
Hollis Steadman Ingraham,Nelson A. Rockefeller
Jackie Collins,Oprah Winfrey
Oleg K. Antonov,Aleksandr S. Yakovlev
Kim Merker,Donald Justice
William T. Carroll,John Davis Lodge
Vincent Canby,Ismail Merchant
James H. Rowe Jr.,Franklin D. Roosevelt
Viktor Tikhonov,Jimmy Carter
Galina Ulanova,John Martin
David C. Jones,Burt Lancaster
Carmen Berra,George Steinbrenner
Will Elder,Harvey Kurtzman
Alton H. Slagle,Robert F. Kennedy
Albert Marre,Richard Kiley
Richard Tee,Tom Scott
Frank Reynolds,Harry Reasoner
Noah Beery Jr.,James Garner
Martin Aronstein,Peter Pan
Jack Twyman,Willis Reed
Elliott Kastner,Vladimir Nabokov
Robert Mallary,John Chamberlain
David Chertok,Miles Davis
Jim Spencer,Dick Howser
Andrew Roth,John Profumo
Robert Stanley,Roy Lichtenstein
Thomas C. Fichandler,Edward Mangum
Alfred D. Hershey,James D. Watson
Anthony R. Cucci,Walter Adams
Mexico City,Doris Duke
Yuri Rasovsky,Barry Morse
Robert George,George Bush
Martha Swope,George Balanchine
Michael Redgrave,Natasha Richardson
John Aylesworth,Hee Haw
Eve Adamson,Harold Adamson
John H. Filer,Gerald R. Ford
Rudolf Serkin,Mieczyslaw Horszowski
Howard H. Baker Jr.,John Sherman Cooper
Helen Ward,Teddy Wilson
Robert Morley,Sheridan Morley
Ferdinand Waldo,Tony Curtis
Frank W. Lewis,Leonard Bernstein
Robert Elkon,John McCracken
Kai Winding,Benny Goodman
Pernell Roberts,Michael Landon
Clark MacGregor,Eugene J. McCarthy
Stefan Lorant,Theodore Roosevelt
R. Richard Rubottom,Fidel Castro
Harold Cruse,Ossie Davis
Wendell H. Ford,Bill Clinton
Peter J. Hall,John Gielgud
Jane D. Weinberger,Nancy Reagan
Ruth Carter Stapleton,Lester Maddox
Lord Shore,Harold Wilson
Jerry Ford,Mary Jane Russell
Joseph R. Concilio,Cabrini Hospice
Urie Bronfenbrenner,Lady Bird Johnson
Bill Byers,Barbra Streisand
Jon Polito,Dustin Hoffman
Fred Weintraub,George Carlin
Lyman Ward,Bruce Sinofsky
Jacob Lateiner,Eugene Istomin
Ed Reinecke,Robert H. Finch
Murray Lerner,Isaac Stern
Frank Joseph Battisti,John F. Kennedy
