Source,Target,weight
My Heart,Esther Williams,2
James Dean,Bob Hope,8
Will Geer,Jean Cocteau,2
Richard Burton,James Mason,5
Truman Capote,Eva Marie,4
Rod Steiger,Lou Grant,3
Jack Nicholson,Charles Mingus,48
Lee Strasberg,Hunter Carson,5
Rudolf Hess,Arthur Miller,3
Konstantin Stanislavski,James Dean,5
Vincent Canby,Don Corleone,6
Ninna Gradually,Anna Kashfi,2
Rachel Fershleiser,Karen Silkwood,2
James Coburn,Freddie Fields,2
Lillian Carter,James Jackson,2
James Dean,Gus Edson,5
Jack Nicholson,El Gallo,48
Vladimir Nabokov,Dick Powell,2
Marion Seaman,Bob Fosse,2
Ruth Carter Stapleton,Billy Carter,2
Dr. Ruby Higgins,Doug Williams,2
Ralph Waite,Al Pacino,3
Tina Turner,Natalie Wood,4
His Laker Girls,Coach Paul Westhead,2
Vincent Canby,Michael Landon,6
Dustin Hoffman,Anthony Colon,3
Gene Hackman,Christopher Walken,2
Detective Lennie Briscoe,Annie Get Your Gun,2
Mary Bono,' ' Five Easy Pieces,3
Paul Simon,Bob Dylan,2
Detective Lennie Briscoe,Anthony Colon,2
Virginia Woolf,Susanna Moore,2
Julian Schnabel,Francis Ford Coppola,6
Ken Babbs,Henry Fonda,3
Marlon Brando Sr,Dag Drollet,2
Slim Pickens,Peter Sellers,4
Richard Gere,Nina Ziskin,2
Will Geer,Virginia Nicholson,2
Pearl Harbor,Martin Scorsese,3
He Said,Ed Graczyk,3
Mr. De Niro,' ' Free Money,2
Virginia Nicholson,His Mercury Theater,2
Jim Brown,Frank Mariani,2
Kenneth Tynan,Joseph Cotten,2
Judith Jamison,Andy Warhol,3
John Singleton,Diane Sobol,2
Jack Nicholson,Elaine Edelman,48
James Earl Carter Jr.,Billy Carter,2
Stanley Kubrick,Mike Nichols,6
Fred A.,""" One Flew Over",2
Leon Orbach,Lennie Briscoe,2
Franz Kurt Levai,Barbara Hepworth,2
Royal Wedding,Billy Eckstein,2
Will Geer,Katharine Cornell,2
Vilmos Zsigmond,Peter Bogdanovich,2
Carly Simon,Brooke Shields,2
Micky Brown,His Laker Girls,2
Sarah Cunningham,Rock Hudson,3
Keith Haring,John Lennon,2
Lillian Hellman,Karen Silkwood,2
Sada Thompson,Paddy Chayefsky,2
David Cronenberg,Boris Karloff,2
Yoko Ono,Truman Capote,4
Meryl Streep,Beverly Hills,9
Peter Bogdanovich,Meryl Streep,4
Marion Seaman,Burton Lane,2
Jane Powell,James Barton,2
Vincent Canby,Joanne Woodward,7
Jack Nicholson,Don Corleone,48
Royal Wedding,Frank Loesser,2
You When You Know I,Marion Seaman,2
Robert Altman,Peter Bogdanovich,2
Jim Brown,Jerry West,2
Kirk Douglas,Jack Lemmon,5
Peter Bogdanovich,Elliott Gould,3
Micky Brown,Jim Brown,2
Stanley Kowalski,Sean Penn,2
Meryl Streep,Max Bernstein,4
Miles Davis,' One Flew Over,4
Vito Corleone,Janet Maslin,3
Rod Steiger,Robert Aldrich,3
Henry Hathaway,Elizabeth Taylor,3
Hallie Ephron,Estelle Reiner,2
Jack Nicholson,Baruch College,48
Ulista Jean Brooks,Dean R. Brooks,2
Philip Guston,David Smith,2
Sarah Cunningham,Orson Welles,5
Laurence Harvey,Christopher Lehmann - Haupt,2
Mr. De Niro,Beverly Hills,7
Paul Newman,Kevin Kline,8
Ralph Waldo Emerson Jones,Jackie Robinson,3
Marlon Brando,Jessica Tandy,10
Ralph Harold Waite,President George H. W. Bush,2
Prince Albert,Barclay Records,2
Marlon Brando,Lee Strasberg,24
Love Came Into My Heart,Cy Coleman,2
Orson Welles,Jay Cantor,5
Sissy Spacek,Brian De Palma,2
Robert Motherwell,Mira Godard,2
Billy Wilder,Beverly Hills,7
Janie Drexel,Gerald Hatten Buss,2
Peter Davis,Dennis Hopper,9
President George H. W. Bush,Kerry Shear,2
San Francisco,Henry Fonda,5
Dennis Hopper,Charles Whitnel,9
Warren Beatty,Anna Kashfi,4
James Caan,Jack Nicholson,48
Vincente Minnelli,Clark Gable,2
Jack Rosenthal,El Gallo,2
Meg Wolitzer,Jack Nicholson,48
Jerry Lewis,Andy Griffith,5
Ralph Waite,Jack Nicholson,48
Sheldon Harnick,Debbie Reynolds,2
Sidney Lumet,Bruce Beresford,3
Truman Capote,Robert De Niro,4
Ruth Carter Stapleton,Ben - Gurion International Airport,2
Ralph Lauren,Julie Christie,3
My Mother Taught Me,Johnny Depp,3
My Heart,Billy Eckstein,2
Helen Gurley Brown,Amy Ephron,3
George Gershwin,Barbra Streisand,5
Frank Gorshin,David Letterman,2
Steve Martin,Helen Gurley Brown,3
Susie Landau Finch,Alfred Hitchcock,3
Me When I Said I Love You When You Know I,Len Cariou,2
Elia Kazan,Barbra Streisand,7
Goldie Hawn,Al Pacino,3
Lee Remick,Ken Kesey,2
My Three Sons,Jack Nicholson,48
Saul Zaentz,Lee Remick,4
Marin Hopper,Lee Strasberg,5
Robert Goulet,Jerome Bernard Orbach,2
Christopher Lehmann - Haupt,An Infinity,2
Sean Penn,Francis Ford Coppola,6
San Francisco,""" One Flew Over",4
Charles Bronson,""" "" Hot Rod Gang",2
Ralph Lauren,Brooke Shields,2
John F. Kennedy,Ben Hecht,4
Rachel Fershleiser,Amy Ephron,2
Peter Fonda,Nick Nolte,9
Beverly Hills,Ann Douglas,7
Kevin Kline,George William Duell,2
Ilona Sommer,Dr. Robert Scotto,2
Vincent Price,Francis Ford Coppola,6
Marta Curro,Lennie Briscoe,2
Helen Gurley Brown,Billy Crystal,3
Maxwell Anderson,Charlie Sheen,3
Michael Landon,Boris Karloff,2
Joan Allen,Jeff Daniels,2
Stephen Robert Franken,Maynard G. Krebs,2
Tom Fears,Ralph Waldo Emerson Jones,2
Warren Beatty,His Bluejeans,4
You Know I,Fred Allen,2
Kirk Douglas,John Randolph,6
William Hurt,Terence Malick,3
You Believe Me When I Said I Love You When You Know I,Fred Astaire,3
Keenan Wynn,Edward G. Robinson,4
Jackson Gibbs,Clive Barnes,2
Saturday Night Live,Mason Hoffenberg,2
Elia Kazan,Bill Gillespie,4
Robert Malcolm,Elaine Cancialla,2
Richard Burton,Peter Fonda,11
San Diego,Elizabeth Taylor,4
John Lennon,Jack Mitchell,2
Robert Sklar,Peter Fonda,9
Iris Murdoch,Arthur Penn,2
Yuri Neyman,William Zsigmond,2
Natalie Wood,Dennis Hopper,11
Kirk Douglas,Jackie Gleason,7
Warren Beatty,Edward Norton,4
Diana Lane,Bob Fosse,2
Richard Gere,Laura Mars,2
Kathy Fields Lander,Beverly Hills,7
James Barton,Harold Stern,2
Viking Press,Doug Blackburn,2
Lee Hill,Dennis Hopper,9
Marta Orbach,Detective Lennie Briscoe,2
Wendy Jackson,Rex Harrison,2
Bob Hope,Ben Hecht,5
Rex Harrison,Janet Roach,2
Jack Nicholson,Arthur C. Clarke,48
Hector Babenco,Denise Winther,2
Tom Cruise,Richard D. Zanuck,4
Edgar Allan Poe,""" Machine Gun Kelly",2
One Flew Over,Duke Ellington,2
Willie Brown,James Harris,2
Vincent Canby,Chuck Connors,6
Pau Gasol,Frank Mariani,2
Harold Adamson,Frank Loesser,2
Marsha Mason,Dennis Hopper,9
His Dream,Bela Lugosi,2
Lee Strasberg,Jane Fonda,5
Warner Brothers,George Roy Hill,4
Marlon Brando,"' ' Harper,''''Where Eagles Dare,''''The Long Goodbye,''''The Missouri Breaks",9
Jack Gould,""" Al Capone",2
Jules Dassin,Barbra Streisand,5
Sidney Lumet,Bill Gillespie,3
Peter Fonda,' Five Easy Pieces,20
Jackson Pollock,Barbara Lloyd,2
Morris Landau,Jack Nicholson,48
Santa Monica,Julia Barry,2
Peter Manso,Johnny Depp,3
Lady Be Good,Esther Williams,2
Martha Raye,Dorothy Fields,2
Tina Turner,Elizabeth Taylor,3
Warren Cowan,David Begelman,2
Rodney Stephen Steiger,Jack Nicholson,48
