code,notSure,officialTitle
773,773,Engine and Other Machine Assemblers
774,774,Structural Metal Fabricators and Fitters
775,775,Miscellaneous Assemblers and Fabricators
780,780,Bakers
781,781,"Butchers and Other Meat, Poultry, and Fish Processing Workers"
783,783,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders"
784,784,Food Batchmakers
785,785,Food Cooking Machine Operators and Tenders
790,790,Computer Control Programmers and Operators
792,792,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic"
793,793,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic"
794,794,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic"
795,795,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic"
796,796,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
800,800,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
801,801,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
802,(See code 822),"Milling and Planing Machine Setter, Operators, and Tenders, Metal and Plastic"
803,803,Machinists
804,804,Metal Furnace and Kiln Operators and Tenders
806,806,"Model Makers and Patternmakers, Metal and Plastic"
810,810,"Molders and Molding Machine Setters, Operators, and Tenders, Metal and Plastic"
812,(See code 822),"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
813,813,Tool and Die Makers
814,814,"Welding, Soldering, and Brazing Workers"
815,815,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic"
816,816,"Lay-Out Workers, Metal and Plastic"
820,820,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic"
821,821,"Tool Grinders, Filers, and Sharpeners"
822,"822 (Inc. 802, 812)","Other Metal Workers and Plastic Workers, Including Milling, Planing, and Machine Tool Operators"
823,823,Bookbinders and Bindery Workers
824,824,Job Printers
825,825,Prepress Technicians and Workers
826,826,Printing Machine Operators
830,830,Laundry and Dry-Cleaning Workers
831,831,"Pressers, Textile, Garment, and Related Materials"
832,832,Sewing Machine Operators
833,833,Shoe and Leather Workers and Repairers
834,834,Shoe Machine Operators and Tenders
835,835,"Tailors, Dressmakers, and Sewers"
836,836,Textile Bleaching and Dyeing Machine Operators and Tenders
840,840,"Textile Cutting Machine Setters, Operators, and Tenders"
841,841,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders"
842,842,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders"
843,(See code 846),"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers"
844,(See code 846),Fabric and Apparel Patternmakers
845,845,Upholsterers
846,"846 (Inc. 843, 844)","Miscellaneous Textile, Apparel, and Furnishings Workers, Except Upholsterers"
850,850,Cabinetmakers and Bench Carpenters
851,851,Furniture Finishers
852,(See code 855),"Model Makers and Patternmakers, Wood"
853,853,"Sawing Machine Setters, Operators, and Tenders, Wood"
854,854,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing"
855,855 (Inc. 852),"Miscellaneous Woodworkers, Including Model Makers and Patternmakers"
860,860,"Power Plant Operators, Distributors, and Dispatchers"
861,861,Stationary Engineers and Boiler Operators
862,862,Water and Liquid Waste Treatment Plant and System Operators
863,863,Miscellaneous Plant and System Operators
864,864,"Chemical Processing Machine Setters, Operators, and Tenders"
865,865,"Crushing, Grinding, Polishing, Mixing, and Blending Workers"
871,871,Cutting Workers
872,872,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"
873,873,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders"
874,874,"Inspectors, Testers, Sorters, Samplers, and Weighers"
875,875,Jewelers and Precious Stone and Metal Workers
876,876,"Medical, Dental, and Ophthalmic Laboratory Technicians"
880,880,Packaging and Filing Machine Operators and Tenders
881,881,Painting Workers
883,883,Photographic Process Workers and Processing Machine Operators
884,(See code 896),Semiconductor Processors
885,885,Cementing and Gluing Machine Operators and Tenders
886,886,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders"
890,(See code 896),Cooling and Freezing Equipment Operators and Tenders
891,891,Etchers and Engravers
892,892,"Molders, Shapers, and Casters, Except Metal and Plastic"
893,893,"Paper Goods Machine Setters, Operators, and Tenders"
894,894,Tire Builders
895,895,Helpers--Production Workers
896,"896 (Inc. 884, 890)","Other Production Workers, Including Semiconductor Processors and Cooling and Freezing Equipment Operators"
Transportation and Material Moving Occupations,,
900,900,"Supervisors, Transportation and Material Moving Workers"
903,903,Aircraft Pilots and Flight Engineers
904,904,Air Traffic Controllers and Airfield Operations Specialists
911,(See code 915),"Ambulance Drivers and Attendants, Except Emergency Medical Technicians"
912,912,Bus Drivers
913,913,Driver/Sales Workers and Truck Drivers
914,914,Taxi Drivers and Chauffeurs
915,915 (Inc. 911),"Miscellaneous Motor Vehicle Operators, Including Ambulance Drivers and Attendants"
920,920,Locomotive Engineers and Operators
923,923,"Railroad Brake, Signal, and Switch Operators"
924,924,Railroad Conductors and Yardmasters
926,926,"Subway, Streetcar, and Other Rail Transportation Workers"
930,930,Sailors and Marine Oilers
931,931,Ship and Boat Captains and Operators
933,933,Ship Engineers
934,(See code 942),Bridge and Lock Tenders
935,935,Parking Lot Attendants
936,936,Service Station Attendants
941,941,Transportation Inspectors
942,942 (Inc. 934),"Miscellaneous Transportation Workers, Including Bridge and Lock Tenders and Traffic Technicians"
950,(See code 975),Conveyor Operators and Tenders
951,951,Crane and Tower Operators
952,952,"Dredge, Excavating, and Loading Machine Operators"
956,956,Hoist and Winch Operators
960,960,Industrial Truck and Tractor Operators
961,961,Cleaners of Vehicles and Equipment
962,962,"Laborers and Freight, Stock, and Material Movers, Hand"
963,963,Machine Feeders and Offbearers
964,964,"Packers and Packagers, Hand"
965,965,Pumping Station Operators
972,972,Refuse and Recyclable Material Collectors
973,(See code 975),Shuttle Car Operators
974,(See code 975),"Tank Car, Truck, and Ship Loaders"
975,"975 (Inc. 950, 973, 974)","Miscellaneous Material Moving Workers; Including Conveyor Operators and Tenders; Shuttle Car Operators; and Tank Car, Truck, and Ship Loaders"
Military Specific Occupations,,
980,980,Military Officer Special and Tactical Weapons Leaders/Managers
981,981,First-Line Enlisted Military Supervisors/Managers
982,982,Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members
983,983,"Military, Rank Not Specified (Census only)"
Unemployed,,
992,992,"Unemployed: in the labor force, who last worked more than 5 years ago"
