id,title,firstSentence
48081,Humphrey Davis Dead at 74; Character Actor for 50 Years,"Humphrey Davis, a character actor whose stage, radio and television career spanned more than 50 years, died of cancer May 23 at Columbia Presbyterian Medical Center."
56416,"Virginia Hamilton, Writer For Children, Is Dead at 65","Virginia Hamilton, an internationally recognized writer for children whose work celebrated the African-American experience as an essential component of American life, died yesterday in Dayton, Ohio."
8404,"Robert Casey, 81, Tax Lawyer and Lobbyist","Robert J. Casey, a prominent tax lawyer in New York and Washington, died on Friday at a nursing home in Washington."
24032,Thomas E. Gaddis Dies at 76; Wrote 'Birdman of Alcatraz',"Thomas Eugene Gaddis, whose 1955 book ''Birdman of Alcatraz'' became one of the nation's best-known prison biographies, died Wednesday in a Portland nursing home."
23962,"RAYMOND PATRIARCA, 76, DIES; NEW ENGLAND CRIME FIGURE","Raymond L. S. Patriarca, the reputed boss of organized crime in New England for more than 25 years, died of a heart attack yesterday in Providence, R.I."
7689,"Christian E. Albert, Executive, 46","Christian E. Albert, a marketing executive at Schieffelin & Somerset Company, liquor importers of Manhattan, died of cancer of the stomach July 1 at his mother's home in Quogue, L.I."
39135,"Henry Stern, Jr., 80, Ex-Insurance Chief Of New York State","Henry Root Stern Jr., a former New York State Insurance Superintendent and trial attorney, died on July 7 at North Shore University Hospital in Glen Cove, L.I."
12973,"Harry Levinson, 90, Dies; Psychologist for Workplace","Harry Levinson, a psychologist who helped change corporate America's thinking about the workplace by demonstrating a link between job conditions and emotional health -- a progressive notion when he began developing his ideas in the 1950s -- died on Tuesday in Delray Beach, Fla."
29012,"Msgr. Frederick McManus, 82, Expert in Catholic Canon Law","Msgr. Frederick R. McManus, a retired dean of canon law at Catholic University of America who helped draft revisions to the Roman Catholic liturgy at the Second Vatican Council in the 1960's, died Nov. 27 in Boston."
3991,"Eugene Raskin, 94, Folk Singer and Writer","Eugene Raskin, a folk singer and architectural scholar who wrote the unusual 1968 hit ''Those Were the Days,'' died on Monday at his home in Manhattan, his son Michael said."
35770,MRS. GERALD S. SHIBLEY,"Florence M. Shibley, the widow of Dr. Gerald S. Shibley, a former professor of internal medicine at the Columbia College of Physicians and Surgeons in New York, died Tuesday at Meadow Lakes Residential Community in Hightstown, N.J., where she had lived since 1973."
59939,"Mervin M. Jules, 82, Artist and Educator","Mervin M. Jules, a graphic artist, painter and teacher, died last Friday at his son's summer home in Provincetown, Mass."
57561,"Dennis Puleston, 95, Environmental Leader","Dennis Puleston, a naturalist, boat designer and yachtsman who, as founding chairman of the Environmental Defense Fund, played a leading role in getting the insecticide DDT banned in the United States and many other countries, died June 8 at his home in Brookhaven, N.Y."
841,"Samuel Karlin, 83, Versatile Mathematician","Samuel Karlin, a mathematician who applied his theoretical brilliance to such far-flung areas as economics and population studies, before helping to find ways to analyze DNA swiftly and comprehensively, died on Dec. 18, in Palo Alto, Calif."
42504,"FREDERICK BRISSON, PRODUCER OF FILMS AND BROADWAY PLAYS","Frederick Brisson, a theater and film producer, died on Monday at the New York Hospital-Cornell Medical Center after a stroke."
36300,"Louise Campbell, Actress, 86","Louise Campbell, a screen and stage actress, died on Wednesday in Norwalk Hospital in Norwalk, Conn. She was 86."
22885,"Harold Leventhal, Promoter of Folk Music, Dies at 86","Harold Leventhal, an internationally renowned folk music promoter who in 1963 presented an unkempt 21-year-old named Bob Dylan in his first major concert-hall appearance, died on Tuesday at New York University Medical Center."
17330,Stewart Klonis Is Dead at 86; Directed the Art Students League,"Stewart Klonis, executive director of the Art Students League for 34 years until his retirement in 1980, died in his sleep on Saturday."
30618,"Dwight L. Wilbur, 93, President Of A.M.A. Who Aided Medicare","Dr. Dwight Locke Wilbur, a prominent San Francisco gastroenterologist and past president of the American Medical Association, who helped overcome the organization's aversion to Medicare as ""socialized medicine,"" died on Sunday at his home in San Francisco."
34969,"A.R. Penck, German Neo-Expressionist of Cold-War Era, Dies at 77","enck, a leader in the German Neo-Expressionist movement of the 1970s and '80s, which brought a new sense of historical and political drama to figurative painting, died on Tuesday in Zurich."
33821,"Alfred Rice, 81, Dies; Lawyer for Top Writers","Alfred Rice, a prominent Manhattan lawyer who numbered Ernest Hemingway and E. E. Cummings among his clients, died of kidney failure Wednesday at Long Island Jewish Hospital in Queens."
13879,"Frank M. Snowden Jr., 95, Historian of Blacks in Antiquity","Frank M. Snowden Jr., a historian who was a leading authority on the lives of black people in the ancient world, died on Feb. 18 in Washington."
26509,"Marion Mack , 87, Silent-Film Actress, Dies","The silent-film actress Marion Mack, a small-town girl who became a Mack Sennett bathing beauty and Buster Keaton's co-star in the classic film ''The General,'' died of heart failure on May 1."
29425,"Raymond J. Broderick, 86, Federal Judge","Raymond J. Broderick, a former federal judge who closed a Pennsylvania institution for the retarded and disabled and ruled that Philadelphia should not have paid for a platform for a visiting pope, died on Aug. 6 in a retirement community in Gladwyne, Pa."
2903,"Jacob A. Salzmann, 91, Advocate Of Early Dental Care for Children","Jacob A. Salzmann, an expert on dentistry, orthodontics and cleft palates, died on Friday at his home in in Manhattan."
14032,"Herb Sargent, TV Writer, Is Dead at 81","Herb Sargent, a veteran television comedy writer who helped the fledgling Not Ready for Prime Time Players make ''Saturday Night Live'' a hit with skits like ''Weekend Update,'' its long-running news parody, died yesterday at a Manhattan hospital."
