name,dod,gov_of
Thomas Veazey,1842-07-01T00:00:00Z,Governor of Maryland
Samuel Stevens,1860-02-07T00:00:00Z,Governor of Maryland
Thomas King Carroll,1873-10-03T00:00:00Z,Governor of Maryland
Theodore McKeldin,1974-08-10T00:00:00Z,Governor of Maryland
Emerson Harrington,1945-12-15T00:00:00Z,Governor of Maryland
Oden Bowie,1894-12-04T00:00:00Z,Governor of Maryland
Edwin Warfield,1920-03-31T00:00:00Z,Governor of Maryland
John Garland Pollard,1937-04-28T00:00:00Z,Governor of Virginia
Henry Carter Stuart,1933-07-24T00:00:00Z,Governor of Virginia
Harry Flood Byrd,1966-10-20T00:00:00Z,Governor of Virginia
Thomas Walker Gilmer,1844-02-28T00:00:00Z,Governor of Virginia
"James Lindsay Almond, Jr.",1986-04-15T00:00:00Z,Governor of Virginia
James Hubert Price,1943-11-22T00:00:00Z,Governor of Virginia
Littleton Waller Tazewell,1860-05-06T00:00:00Z,Governor of Virginia
John S. Battle,1972-04-09T00:00:00Z,Governor of Virginia
William Hodges Mann,1927-12-12T00:00:00Z,Governor of Virginia
Joseph Johnson,1877-02-27T00:00:00Z,Governor of Virginia
William Thomas Hamilton,1888-10-26T00:00:00Z,Governor of Maryland
John Henry,1798-12-16T00:00:00Z,Governor of Maryland
Spiro Agnew,1996-09-17T00:00:00Z,Governor of Maryland
John Lee Carroll,1911-02-27T00:00:00Z,Governor of Maryland
John William Brown,1993-10-29T00:00:00Z,Governor of Ohio
Ethan Allen Brown,1852-02-24T00:00:00Z,Governor of Ohio
Samuel H. Huntington,1817-06-08T00:00:00Z,Governor of Ohio
James E. Campbell,1924-12-18T00:00:00Z,Governor of Ohio
Anselm J. McLaurin,1909-12-22T00:00:00Z,Governor of Mississippi
George Poindexter,1853-09-05T00:00:00Z,Governor of Mississippi
David Holmes,1832-08-20T00:00:00Z,Governor of Mississippi
John A. Quitman,1858-07-17T00:00:00Z,Governor of Mississippi
George Voinovich,2016-06-12T00:00:00Z,Governor of Ohio
Judson Harmon,1927-02-22T00:00:00Z,Governor of Ohio
Asa S. Bushnell,1904-01-15T00:00:00Z,Governor of Ohio
Charles Foster,1904-01-09T00:00:00Z,Governor of Ohio
Robert Lucas,1853-02-07T00:00:00Z,Governor of Ohio
Marvin Mandel,2015-08-30T00:00:00Z,Governor of Maryland
Joseph Kent,1837-11-24T00:00:00Z,Governor of Maryland
Austin Lane Crothers,1912-05-25T00:00:00Z,Governor of Maryland
William Donald Schaefer,2011-04-18T00:00:00Z,Governor of Maryland
Herbert Romulus O'Conor,1960-03-04T00:00:00Z,Governor of Maryland
William Irwin,1886-03-15T00:00:00Z,Governor of California
Washington Bartlett,1887-09-12T00:00:00Z,Governor of California
Warren P. Knowles,1993-05-01T00:00:00Z,Governor of Wisconsin
Orland Steen Loomis,1942-12-07T00:00:00Z,Governor of Wisconsin
"Return J. Meigs, Jr.",1825-03-29T00:00:00Z,Governor of Ohio
