name,dod,gov_of
Al Smith,1944-10-04T00:00:00Z,Governor of New York
Reuben Fenton,1885-08-25T00:00:00Z,Governor of New York
John A. King,1867-07-07T00:00:00Z,Governor of New York
James Clark,1839-09-27T00:00:00Z,Governor of Kentucky
Gabriel Slaughter,1830-09-19T00:00:00Z,Governor of Kentucky
Joseph Desha,1842-10-11T00:00:00Z,Governor of Kentucky
William S. Taylor,1928-08-02T00:00:00Z,Governor of Kentucky
John W. Stevenson,1886-08-10T00:00:00Z,Governor of Kentucky
"Levi Lincoln, Jr.",1868-05-29T00:00:00Z,Governor of Massachusetts
John Davis Long,1915-08-28T00:00:00Z,Governor of Massachusetts
Thomas Cushing,1788-02-28T00:00:00Z,Governor of Massachusetts
John Brooks,1825-03-01T00:00:00Z,Governor of Massachusetts
Benjamin Franklin Butler,1893-01-11T00:00:00Z,Governor of Massachusetts
Foster Furcolo,1995-07-05T00:00:00Z,Governor of Massachusetts
John J. Cornwell,1953-09-08T00:00:00Z,Governor of West Virginia
John Edward Jones,1896-04-10T00:00:00Z,Governor of Nevada
Vail M. Pittman,1964-01-29T00:00:00Z,Governor of Nevada
Emanuel Willis Wilson,1905-05-28T00:00:00Z,Governor of West Virginia
Paul Laxalt,2018-08-06T00:00:00Z,Governor of Nevada
Ben W. Olcott,1952-07-21T00:00:00Z,Governor of Oregon
Mark Hatfield,2011-08-07T00:00:00Z,Governor of Oregon
Stephen F. Chadwick,1895-01-15T00:00:00Z,Governor of Oregon
La Fayette Grover,1911-05-10T00:00:00Z,Governor of Oregon
W. W. Thayer,1899-10-15T00:00:00Z,Governor of Oregon
William Paine Lord,1911-02-17T00:00:00Z,Governor of Oregon
Wilson Shannon,1877-08-30T00:00:00Z,Governor of Ohio
Thomas Worthington,1827-06-20T00:00:00Z,Governor of Ohio
Thomas L. Young,1888-07-20T00:00:00Z,Governor of Ohio
Joseph Vance,1852-08-24T00:00:00Z,Governor of Ohio
George Hoadly,1902-08-26T00:00:00Z,Governor of Ohio
George Hoadly,1902-08-28T00:00:00Z,Governor of Ohio
Robert W. Straub,2002-11-27T00:00:00Z,Governor of Oregon
Sylvester Pennoyer,1902-05-30T00:00:00Z,Governor of Oregon
James Withycombe,1919-03-03T00:00:00Z,Governor of Oregon
John Hubert Hall,1970-11-14T00:00:00Z,Governor of Oregon
Paul L. Patterson,1956-01-31T00:00:00Z,Governor of Oregon
A. W. Norblad,1960-04-17T00:00:00Z,Governor of Oregon
Moses Gill,1800-05-20T00:00:00Z,Governor of Massachusetts
Silas Wright,1847-08-27T00:00:00Z,Governor of New York
Hugh Carey,2011-08-07T00:00:00Z,Governor of New York
Herbert Henry Lehman,1963-12-05T00:00:00Z,Governor of New York
Malcolm Wilson,2000-03-13T00:00:00Z,Governor of New York
Milward L. Simpson,1993-06-11T00:00:00Z,Governor of Wyoming
Leslie Andrew Miller,1970-09-29T00:00:00Z,Governor of Wyoming
Clifford Joy Rogers,1962-05-18T00:00:00Z,Governor of Wyoming
Bryant Butler Brooks,1944-12-08T00:00:00Z,Governor of Wyoming
Frank A. Barrett,1962-05-30T00:00:00Z,Governor of Wyoming
Edgar Herschler,1990-02-05T00:00:00Z,Governor of Wyoming
William Sherman Jennings,1920-02-27T00:00:00Z,Governor of Florida
Reubin Askew,2014-03-13T00:00:00Z,Governor of Florida
Cary A. Hardee,1957-11-21T00:00:00Z,Governor of Florida
John W. Martin,1958-02-22T00:00:00Z,Governor of Florida
Albert W. Gilchrist,1926-05-15T00:00:00Z,Governor of Florida
Sidney Johnston Catts,1936-03-09T00:00:00Z,Governor of Florida
Robert Frederick Bennett,2000-10-09T00:00:00Z,Governor of Kansas
Edward W. Hoch,1925-06-01T00:00:00Z,Governor of Kansas
Jonathan M. Davis,1943-06-27T00:00:00Z,Governor of Kansas
Edmund Needham Morrill,1909-03-14T00:00:00Z,Governor of Kansas
Frank L. Hagaman,1966-06-23T00:00:00Z,Governor of Kansas
Clayton Douglass Buck,1965-01-27T00:00:00Z,Governor of Delaware
William F. Quinn,2006-08-28T00:00:00Z,Governor of Hawaii
John A. Burns,1975-04-05T00:00:00Z,Governor of Hawaii
Andrew Frank Schoeppel,1962-01-21T00:00:00Z,Governor of Kansas
Charles L. Robinson,1894-08-17T00:00:00Z,Governor of Kansas
Samuel Medary,1864-11-07T00:00:00Z,Governor of Kansas
Wilson Shannon,1877-08-30T00:00:00Z,Governor of Kansas
William H. Avery,2009-11-04T00:00:00Z,Governor of Kansas
John St. John,1916-08-31T00:00:00Z,Governor of Kansas
Andrew Horatio Reeder,1864-07-05T00:00:00Z,Governor of Kansas
Edward F. Arn,1998-01-22T00:00:00Z,Governor of Kansas
Alf Landon,1987-10-12T00:00:00Z,Governor of Kansas
Lyman U. Humphrey,1915-09-12T00:00:00Z,Governor of Kansas
John McKinly,1796-08-31T00:00:00Z,Governor of Delaware
William H. H. Ross,1887-06-30T00:00:00Z,Governor of Delaware
David P. Buckson,2017-01-18T00:00:00Z,Governor of Delaware
Russell W. Peterson,2011-02-21T00:00:00Z,Governor of Delaware
William B. Cooper,1849-04-29T00:00:00Z,Governor of Delaware
Thomas Stockton,1846-03-02T00:00:00Z,Governor of Delaware
Nicholas Van Dyke,1789-02-19T00:00:00Z,Governor of Delaware
William H. McMaster,1968-09-14T00:00:00Z,Governor of South Dakota
Cecil H. Underwood,2008-11-24T00:00:00Z,Governor of West Virginia
Matthew M. Neely,1958-01-18T00:00:00Z,Governor of West Virginia
Homer A. Holt,1975-01-16T00:00:00Z,Governor of West Virginia
William G. Conley,1940-10-21T00:00:00Z,Governor of West Virginia
Henry M. Mathews,1884-04-28T00:00:00Z,Governor of West Virginia
Hulett C. Smith,2012-01-15T00:00:00Z,Governor of West Virginia
William Bradley Umstead,1954-11-07T00:00:00Z,Governor of North Carolina
James Turner,1824-01-15T00:00:00Z,Governor of North Carolina
William Hawkins,1819-05-17T00:00:00Z,Governor of North Carolina
Angus Wilton McLean,1935-06-21T00:00:00Z,Governor of North Carolina
Samuel Ashe,1813-02-03T00:00:00Z,Governor of North Carolina
Alexander Martin,1807-11-10T00:00:00Z,Governor of North Carolina
William Richardson Davie,1820-11-29T00:00:00Z,Governor of North Carolina
Joshua Clayton,1798-08-11T00:00:00Z,Governor of Delaware
David Hazzard,1864-07-08T00:00:00Z,Governor of Delaware
Benjamin T. Biggs,1893-12-25T00:00:00Z,Governor of Delaware
John Dickinson,1808-02-14T00:00:00Z,Governor of Delaware
Thomas McKean,1817-06-24T00:00:00Z,Governor of Delaware
John Peter Richardson II,1864-01-24T00:00:00Z,Governor of South Carolina
John Peter Richardson III,1899-07-06T00:00:00Z,Governor of South Carolina
Thomas Bothwell Jeter,1893-05-20T00:00:00Z,Governor of South Carolina
Coleman Livingston Blease,1942-01-19T00:00:00Z,Governor of South Carolina
William Dunlap Simpson,1890-12-26T00:00:00Z,Governor of South Carolina
Johnson Hagood,1898-01-04T00:00:00Z,Governor of South Carolina
John Calhoun Sheppard,1931-10-07T00:00:00Z,Governor of South Carolina
John Davis,1854-04-19T00:00:00Z,Governor of Massachusetts
Leverett Saltonstall,1979-06-17T00:00:00Z,Governor of Massachusetts
Marcus Morton,1864-02-06T00:00:00Z,Governor of Massachusetts
Christopher Gore,1827-03-01T00:00:00Z,Governor of Massachusetts
John Albion Andrew,1867-10-30T00:00:00Z,Governor of Massachusetts
Curtis Guild,1915-04-06T00:00:00Z,Governor of Massachusetts
David I. Walsh,1947-06-11T00:00:00Z,Governor of Massachusetts
Frank G. Allen,1950-10-09T00:00:00Z,Governor of Massachusetts
John Bates,1946-06-08T00:00:00Z,Governor of Massachusetts
James Bowdoin,1790-11-06T00:00:00Z,Governor of Massachusetts
Charles Aurelius Smith,1916-04-01T00:00:00Z,Governor of South Carolina
Fenimore Chatterton,1958-05-09T00:00:00Z,Governor of Wyoming
Francis E. Warren,1929-11-24T00:00:00Z,Governor of Wyoming
William A. Richards,1912-07-25T00:00:00Z,Governor of Wyoming
Frank E. Lucas,1948-11-26T00:00:00Z,Governor of Wyoming
DeForest Richards,1903-04-28T00:00:00Z,Governor of Wyoming
Frank L. Houx,1941-04-03T00:00:00Z,Governor of Wyoming
John Cook,1789-10-27T00:00:00Z,Governor of Delaware
Charles R. Miller,1927-09-18T00:00:00Z,Governor of Delaware
John P. Cochran,1898-12-27T00:00:00Z,Governor of Delaware
John W. Hall,1892-01-23T00:00:00Z,Governor of Delaware
David Hall,1817-09-18T00:00:00Z,Governor of Delaware
John Collins,1822-04-16T00:00:00Z,Governor of Delaware
Milledge Luke Bonham,1890-08-27T00:00:00Z,Governor of South Carolina
John Taylor,1832-04-16T00:00:00Z,Governor of South Carolina
Stephen Decatur Miller,1838-03-08T00:00:00Z,Governor of South Carolina
Robert Y. Hayne,1839-09-24T00:00:00Z,Governor of South Carolina
George McDuffie,1851-03-11T00:00:00Z,Governor of South Carolina
John C. West,2004-03-21T00:00:00Z,Governor of South Carolina
Tod Robinson Caldwell,1874-07-11T00:00:00Z,Governor of North Carolina
Elias Carr,1900-07-22T00:00:00Z,Governor of North Carolina
Thomas Michael Holt,1896-04-11T00:00:00Z,Governor of North Carolina
Locke Craig,1924-06-09T00:00:00Z,Governor of North Carolina
Jacob Dolson Cox,1900-08-04T00:00:00Z,Governor of Ohio
A. Victor Donahey,1946-04-08T00:00:00Z,Governor of Ohio
Jim Rhodes,2001-03-04T00:00:00Z,Governor of Ohio
Harrison Ludington,1891-06-17T00:00:00Z,Governor of Wisconsin
Albert G. Schmedeman,1946-11-26T00:00:00Z,Governor of Wisconsin
Philip La Follette,1965-08-18T00:00:00Z,Governor of Wisconsin
Patrick Lucey,2014-05-10T00:00:00Z,Governor of Wisconsin
Fred R. Zimmerman,1954-12-14T00:00:00Z,Governor of Wisconsin
Arthur MacArthur,1896-08-26T00:00:00Z,Governor of Wisconsin
Arthur MacArthur,1896-12-13T00:00:00Z,Governor of Wisconsin
James D. Porter,1912-05-18T00:00:00Z,Governor of Tennessee
William B. Bate,1905-03-09T00:00:00Z,Governor of Tennessee
Aaron V. Brown,1859-03-08T00:00:00Z,Governor of Tennessee
Willie Blount,1835-09-10T00:00:00Z,Governor of Tennessee
William Carroll,1844-03-22T00:00:00Z,Governor of Tennessee
Arthur Capper,1951-12-19T00:00:00Z,Governor of Kansas
Henry Justin Allen,1950-01-17T00:00:00Z,Governor of Kansas
Clyde Martin Reed,1949-11-08T00:00:00Z,Governor of Kansas
Nehemiah Green,1890-01-12T00:00:00Z,Governor of Kansas
Frank Carlson,1987-05-30T00:00:00Z,Governor of Kansas
Benton McMillin,1933-01-08T00:00:00Z,Governor of Tennessee
John P. Buchanan,1930-05-14T00:00:00Z,Governor of Tennessee
Robert Love Taylor,1912-03-31T00:00:00Z,Governor of Tennessee
Peter Turney,1903-10-28T00:00:00Z,Governor of Tennessee
James B. Frazier,1937-03-28T00:00:00Z,Governor of Tennessee
John I. Cox,1946-09-04T00:00:00Z,Governor of Tennessee
Benjamin Guerard,1788-12-21T00:00:00Z,Governor of South Carolina
Edward Rutledge,1800-01-23T00:00:00Z,Governor of South Carolina
Thomas Pinckney,1828-11-02T00:00:00Z,Governor of South Carolina
Wade Hampton III,1902-04-11T00:00:00Z,Governor of South Carolina
Burnet Rhett Maybank,1954-09-01T00:00:00Z,Governor of South Carolina
Donald S. Russell,1998-02-22T00:00:00Z,Governor of South Carolina
Newton Cannon,1841-09-16T00:00:00Z,Governor of Tennessee
Charles Thomas,1848-02-08T00:00:00Z,Governor of Delaware
William Burton,1866-08-05T00:00:00Z,Governor of Delaware
Nathaniel Mitchell,1814-02-21T00:00:00Z,Governor of Delaware
Jacob Stout,1857-11-01T00:00:00Z,Governor of Delaware
James T. Lewis,1904-08-05T00:00:00Z,Governor of Wisconsin
Cadwallader C. Washburn,1882-05-15T00:00:00Z,Governor of Wisconsin
William D. Hoard,1918-11-22T00:00:00Z,Governor of Wisconsin
Zebulon Baird Vance,1894-04-14T00:00:00Z,Governor of North Carolina
Robert W. Scott,2009-01-23T00:00:00Z,Governor of North Carolina
Jesse Franklin,1823-08-31T00:00:00Z,Governor of North Carolina
Abner Nash,1786-12-02T00:00:00Z,Governor of North Carolina
Charles Brantley Aycock,1912-04-04T00:00:00Z,Governor of North Carolina
Alfred Moore Scales,1892-02-09T00:00:00Z,Governor of North Carolina
William M. O. Dawson,1916-03-12T00:00:00Z,Governor of West Virginia
Ephraim F. Morgan,1950-01-15T00:00:00Z,Governor of West Virginia
Amos W. Barber,1915-05-19T00:00:00Z,Governor of Wyoming
John Eugene Osborne,1943-04-24T00:00:00Z,Governor of Wyoming
William B. Ross,1924-10-02T00:00:00Z,Governor of Wyoming
Arthur G. Crane,1955-08-11T00:00:00Z,Governor of Wyoming
Robert D. Carey,1937-01-17T00:00:00Z,Governor of Wyoming
Andrew L. Harris,1915-09-13T00:00:00Z,Governor of Ohio
Sam Houston,1863-07-26T00:00:00Z,Governor of Tennessee
John Lambert,1823-02-04T00:00:00Z,Governor of New Jersey
Elias P. Seeley,1846-08-23T00:00:00Z,Governor of New Jersey
Isaac Halstead Williamson,1844-07-10T00:00:00Z,Governor of New Jersey
William Sanford Pennington,1826-09-27T00:00:00Z,Governor of New Jersey
Thomas Henderson,1824-12-15T00:00:00Z,Governor of New Jersey
Elisha Lawrence,1799-07-23T00:00:00Z,Governor of New Jersey
Neill S. Brown,1886-01-30T00:00:00Z,Governor of Tennessee
William Trousdale,1872-03-27T00:00:00Z,Governor of Tennessee
William B. Campbell,1867-08-19T00:00:00Z,Governor of Tennessee
Isham G. Harris,1897-07-08T00:00:00Z,Governor of Tennessee
Edward H. East,1904-11-12T00:00:00Z,Governor of Tennessee
Alvin Hawkins,1905-04-27T00:00:00Z,Governor of Tennessee
Woodrow Wilson,1924-02-03T00:00:00Z,Governor of New Jersey
John J. Hickey,1970-09-22T00:00:00Z,Governor of Wyoming
Nels H. Smith,1976-07-05T00:00:00Z,Governor of Wyoming
Lester C. Hunt,1954-06-19T00:00:00Z,Governor of Wyoming
Joseph Maull,1846-05-03T00:00:00Z,Governor of Delaware
Walter W. Bacon,1962-03-18T00:00:00Z,Governor of Delaware
Daniel Rogers,1806-02-02T00:00:00Z,Governor of Delaware
Joan Finney,2001-07-28T00:00:00Z,Governor of Kansas
James M. Harvey,1894-04-15T00:00:00Z,Governor of Kansas
George Docking,1964-01-20T00:00:00Z,Governor of Kansas
Fred Hall,1970-03-18T00:00:00Z,Governor of Kansas
George Washington Glick,1911-04-13T00:00:00Z,Governor of Kansas
Harry Hines Woodring,1967-09-09T00:00:00Z,Governor of Kansas
Robert Docking,1983-10-08T00:00:00Z,Governor of Kansas
William Russell,1896-07-16T00:00:00Z,Governor of Massachusetts
Winthrop M. Crane,1920-10-02T00:00:00Z,Governor of Massachusetts
Nathaniel P. Banks,1894-09-01T00:00:00Z,Governor of Massachusetts
Paul Cellucci,2013-06-08T00:00:00Z,Governor of Massachusetts
Levi Lincoln,1820-04-14T00:00:00Z,Governor of Massachusetts
Peter F. Causey,1871-02-15T00:00:00Z,Governor of Delaware
James Sykes,1822-10-18T00:00:00Z,Governor of Delaware
Daniel Rodney,1846-09-02T00:00:00Z,Governor of Delaware
Gunning Bedford,1797-09-30T00:00:00Z,Governor of Delaware
Samuel Paynter,1845-10-02T00:00:00Z,Governor of Delaware
William D. Denney,1953-11-21T00:00:00Z,Governor of Delaware
Gove Saulsbury,1881-07-31T00:00:00Z,Governor of Delaware
Ben W. Hooper,1957-04-18T00:00:00Z,Governor of Tennessee
Ned McWherter,2011-04-04T00:00:00Z,Governor of Tennessee
Thomas Clarke Rye,1953-09-12T00:00:00Z,Governor of Tennessee
Henry Hollis Horton,1934-07-02T00:00:00Z,Governor of Tennessee
Albert H. Roberts,1946-06-25T00:00:00Z,Governor of Tennessee
Alfred A. Taylor,1931-11-25T00:00:00Z,Governor of Tennessee
Gordon Browning,1976-05-23T00:00:00Z,Governor of Tennessee
Arthur Dobbs,1765-03-28T00:00:00Z,Governor of North Carolina
Thomas Bragg,1872-01-21T00:00:00Z,Governor of North Carolina
Samuel Johnston,1816-08-17T00:00:00Z,Governor of North Carolina
William Alexander Graham,1875-08-11T00:00:00Z,Governor of North Carolina
Richard Caswell,1789-11-10T00:00:00Z,Governor of North Carolina
Clyde Roark Hoey,1954-05-12T00:00:00Z,Governor of North Carolina
Reinhold Sadler,1906-01-30T00:00:00Z,Governor of Nevada
Lewis R. Bradley,1879-03-21T00:00:00Z,Governor of Nevada
Andrew E. Lee,1934-03-19T00:00:00Z,Governor of South Dakota
Archie M. Gubbrud,1987-04-26T00:00:00Z,Governor of South Dakota
Joe Foss,2003-01-01T00:00:00Z,Governor of South Dakota
Bill Janklow,2012-01-12T00:00:00Z,Governor of South Dakota
William J. Bulow,1960-02-26T00:00:00Z,Governor of South Dakota
Merrell Q. Sharpe,1962-01-22T00:00:00Z,Governor of South Dakota
Preston Leslie,1907-02-07T00:00:00Z,Governor of Kentucky
Happy Chandler,1991-06-15T00:00:00Z,Governor of Kentucky
Simon Bolivar Buckner,1914-01-08T00:00:00Z,Governor of Kentucky
Louie B. Nunn,2004-01-29T00:00:00Z,Governor of Kentucky
Edwin P. Morrow,1935-06-15T00:00:00Z,Governor of Kentucky
Carl Edward Bailey,1948-10-23T00:00:00Z,Governor of Arkansas
Francis Cherry,1965-07-15T00:00:00Z,Governor of Arkansas
George Washington Donaghey,1937-12-15T00:00:00Z,Governor of Arkansas
William Kavanaugh Oldham,1938-05-06T00:00:00Z,Governor of Arkansas
James Philip Eagle,1904-12-19T00:00:00Z,Governor of Arkansas
Frank D. White,2003-05-21T00:00:00Z,Governor of Arkansas
Augustus Hill Garland,1899-01-26T00:00:00Z,Governor of Arkansas
Joseph McMinn,1824-10-17T00:00:00Z,Governor of Tennessee
Archibald Roane,1819-01-18T00:00:00Z,Governor of Tennessee
William Hall,1856-10-07T00:00:00Z,Governor of Tennessee
James C. Jones,1859-10-29T00:00:00Z,Governor of Tennessee
Malcolm R. Patterson,1935-03-08T00:00:00Z,Governor of Tennessee
Austin Peay,1927-10-02T00:00:00Z,Governor of Tennessee
Forrest H. Anderson,1989-07-20T00:00:00Z,Governor of Montana
Jack R. Gage,1970-03-14T00:00:00Z,Governor of Wyoming
Joseph M. Carey,1924-02-05T00:00:00Z,Governor of Wyoming
Phelps Phelps,1981-06-10T00:00:00Z,Governor of American Samoa
Owen Aspinall,1997-02-07T00:00:00Z,Governor of American Samoa
John Morse Haydon,1991-04-18T00:00:00Z,Governor of American Samoa
Strom Thurmond,2003-06-26T00:00:00Z,Governor of South Carolina
Olin D. Johnston,1965-04-18T00:00:00Z,Governor of South Carolina
Benjamin Smith,1826-01-26T00:00:00Z,Governor of North Carolina
Benjamin Williams,1814-07-20T00:00:00Z,Governor of North Carolina
Richard Dobbs Spaight,1802-09-06T00:00:00Z,Governor of North Carolina
Terry Sanford,1998-04-18T00:00:00Z,Governor of North Carolina
John Branch,1863-01-03T00:00:00Z,Governor of North Carolina
Montfort Stokes,1842-11-04T00:00:00Z,Governor of North Carolina
John Owen,1841-10-09T00:00:00Z,Governor of North Carolina
James Iredell,1853-04-13T00:00:00Z,Governor of North Carolina
William Haselden Ellerbe,1899-06-02T00:00:00Z,Governor of South Carolina
Joseph Emile Harley,1942-02-27T00:00:00Z,Governor of South Carolina
Ibra Charles Blackwood,1936-02-12T00:00:00Z,Governor of South Carolina
John Lawrence Manning,1889-10-24T00:00:00Z,Governor of South Carolina
Henry Middleton,1846-06-14T00:00:00Z,Governor of South Carolina
William Aiken,1887-09-06T00:00:00Z,Governor of South Carolina
Simon Bamberger,1926-10-06T00:00:00Z,Governor of Utah
Frank Mockler,1993-11-16T00:00:00Z,Governor of American Samoa
Frank Barnett,2016-07-15T00:00:00Z,Governor of American Samoa
Benjamin Franklin Tilley,1907-03-18T00:00:00Z,Governor of American Samoa
Edmund Beardsley Underwood,1928-04-12T00:00:00Z,Governor of American Samoa
Henry Minett,1952-12-20T00:00:00Z,Governor of American Samoa
James Henry Hammond,1864-11-13T00:00:00Z,Governor of South Carolina
"Benjamin Ryan Tillman, Jr.",1918-07-03T00:00:00Z,Governor of South Carolina
Paul Hamilton,1816-06-30T00:00:00Z,Governor of South Carolina
Pierce Mason Butler,1846-12-22T00:00:00Z,Governor of South Carolina
Barnabas Kelet Henagan,1855-01-10T00:00:00Z,Governor of South Carolina
Benjamin Franklin Perry,1886-12-03T00:00:00Z,Governor of South Carolina
Charles Croswell,1886-12-13T00:00:00Z,Governor of Michigan
Chase Osborn,1949-04-11T00:00:00Z,Governor of Michigan
Fred M. Warner,1923-04-18T00:00:00Z,Governor of Michigan
Fred Warren Green,1936-11-30T00:00:00Z,Governor of Michigan
William Comstock,1949-06-16T00:00:00Z,Governor of Michigan
Kim Sigler,1953-11-30T00:00:00Z,Governor of Michigan
Luren Dickinson,1943-04-22T00:00:00Z,Governor of Michigan
Hugh Smith Thompson,1904-11-20T00:00:00Z,Governor of South Carolina
James B. Edwards,2014-12-26T00:00:00Z,Governor of South Carolina
Frank M. Byrne,1928-12-24T00:00:00Z,Governor of South Dakota
Carl Gunderson,1933-02-16T00:00:00Z,Governor of South Dakota
Wendell H. Ford,2015-01-22T00:00:00Z,Governor of Kentucky
Ruby Laffoon,1941-03-01T00:00:00Z,Governor of Kentucky
Earle C. Clements,1985-03-12T00:00:00Z,Governor of Kentucky
James Turner Morehead,1854-12-28T00:00:00Z,Governor of Kentucky
Thomas W. Bartley,1885-06-20T00:00:00Z,Governor of Ohio
Salmon P. Chase,1873-05-07T00:00:00Z,Governor of Ohio
James Middleton Cox,1957-07-15T00:00:00Z,Governor of Ohio
R. Gregg Cherry,1957-06-25T00:00:00Z,Governor of North Carolina
William Miller,1825-01-01T00:00:00Z,Governor of North Carolina
John C. B. Ehringhaus,1949-07-31T00:00:00Z,Governor of North Carolina
Dan K. Moore,1986-09-07T00:00:00Z,Governor of North Carolina
Gabriel Holmes,1829-09-26T00:00:00Z,Governor of North Carolina
Joseph Melville Broughton,1949-03-06T00:00:00Z,Governor of North Carolina
William S. Flynn,1966-04-06T00:00:00Z,Governor of Rhode Island
Thomas Wilson Dorr,1854-12-27T00:00:00Z,Governor of Rhode Island
Lawrence Wetherby,1994-03-27T00:00:00Z,Governor of Kentucky
George W. Johnson,1862-04-08T00:00:00Z,Governor of Kentucky
Wilber M. Brucker,1968-10-28T00:00:00Z,Governor of Michigan
James Wright Gordon,1853-12-01T00:00:00Z,Governor of Michigan
William L. Greenly,1883-11-29T00:00:00Z,Governor of Michigan
Edward Douglass White,1847-04-18T00:00:00Z,Governor of Louisiana
George Foster Shepley,1878-07-20T00:00:00Z,Governor of Louisiana
Murphy J. Foster,1921-06-12T00:00:00Z,Governor of Louisiana
James Paul Clarke,1916-10-01T00:00:00Z,Governor of Arkansas
John Sebastian Little,1916-10-29T00:00:00Z,Governor of Arkansas
Harvey Parnell,1936-01-16T00:00:00Z,Governor of Arkansas
Harvey Parnell,1936-01-26T00:00:00Z,Governor of Arkansas
Dale Bumpers,2016-01-01T00:00:00Z,Governor of Arkansas
James Lawrence Orr,1873-05-05T00:00:00Z,Governor of South Carolina
Francis Wilkinson Pickens,1869-01-25T00:00:00Z,Governor of South Carolina
Robert Kingston Scott,1900-08-12T00:00:00Z,Governor of South Carolina
George Bell Timmerman,1994-11-29T00:00:00Z,Governor of South Carolina
John Rutledge,1800-07-23T00:00:00Z,Governor of South Carolina
Winthrop Rockefeller,1973-02-22T00:00:00Z,Governor of Arkansas
Isaac Murphy,1882-09-08T00:00:00Z,Governor of Arkansas
Elisha Baxter,1899-05-31T00:00:00Z,Governor of Arkansas
John Ellis Martineau,1937-03-06T00:00:00Z,Governor of Arkansas
Thomas Stevenson Drew,1879-01-01T00:00:00Z,Governor of Arkansas
Thomas James Churchill,1905-05-14T00:00:00Z,Governor of Arkansas
Frank Licht,1987-05-30T00:00:00Z,Governor of Rhode Island
James H. Higgins,1927-09-16T00:00:00Z,Governor of Rhode Island
"John A. Notte, Jr.",1983-03-07T00:00:00Z,Governor of Rhode Island
John S. McKiernan,1997-03-09T00:00:00Z,Governor of Rhode Island
Robert E. Quinn,1975-05-19T00:00:00Z,Governor of Rhode Island
Robert B. Meyner,1990-05-27T00:00:00Z,Governor of New Jersey
A. Harry Moore,1952-11-18T00:00:00Z,Governor of New Jersey
Aaron Ogden,1839-04-19T00:00:00Z,Governor of New Jersey
William Woodbridge,1861-10-20T00:00:00Z,Governor of Michigan
Kinsley S. Bingham,1861-10-05T00:00:00Z,Governor of Michigan
Moses Wisner,1863-01-05T00:00:00Z,Governor of Michigan
John J. Bagley,1881-07-27T00:00:00Z,Governor of Michigan
Cyrus G. Luce,1905-03-18T00:00:00Z,Governor of Michigan
David Jerome,1896-04-23T00:00:00Z,Governor of Michigan
John Tyler Rich,1926-03-28T00:00:00Z,Governor of Michigan
John Willis Ellis,1861-07-07T00:00:00Z,Governor of North Carolina
David Settle Reid,1891-06-19T00:00:00Z,Governor of North Carolina
Luther H. Hodges,1974-10-06T00:00:00Z,Governor of North Carolina
James Holshouser,2013-06-17T00:00:00Z,Governor of North Carolina
Edwin B. Winans,1894-07-04T00:00:00Z,Governor of Michigan
Alexander Joseph Groesbeck,1953-03-10T00:00:00Z,Governor of Michigan
G. Mennen Williams,1988-02-02T00:00:00Z,Governor of Michigan
Austin Blair,1894-08-06T00:00:00Z,Governor of Michigan
Woodbridge Nathan Ferris,1928-03-23T00:00:00Z,Governor of Michigan
Russell Alexander Alger,1907-01-24T00:00:00Z,Governor of Michigan
Carolyn B. Shelton,1936-07-26T00:00:00Z,Governor of Oregon
Richard Dobbs Spaight,1850-11-02T00:00:00Z,Governor of North Carolina
Charles Manly,1871-05-01T00:00:00Z,Governor of North Carolina
Jonathan Worth,1869-09-05T00:00:00Z,Governor of North Carolina
W. Kerr Scott,1958-04-16T00:00:00Z,Governor of North Carolina
William Woods Holden,1892-03-01T00:00:00Z,Governor of North Carolina
Henry Toole Clark,1874-04-14T00:00:00Z,Governor of North Carolina
Curtis Hooks Brogden,1901-01-05T00:00:00Z,Governor of North Carolina
John Sparks,1908-05-22T00:00:00Z,Governor of Nevada
Tasker Oddie,1950-02-17T00:00:00Z,Governor of Nevada
"Richard Kirman, Sr.",1959-01-19T00:00:00Z,Governor of Nevada
Denver S. Dickerson,1925-11-28T00:00:00Z,Governor of Nevada
Edward P. Carville,1956-06-27T00:00:00Z,Governor of Nevada
Nellie Tayloe Ross,1977-12-19T00:00:00Z,Governor of Wyoming
Thomas Kilby,1943-10-22T00:00:00Z,Governor of Alabama
Jim Folsom,1987-11-21T00:00:00Z,Governor of Alabama
Lewis E. Parsons,1895-06-08T00:00:00Z,Governor of Alabama
Thomas G. Jones,1914-04-28T00:00:00Z,Governor of Alabama
William C. Oates,1910-09-09T00:00:00Z,Governor of Alabama
Joseph F. Johnston,1913-08-08T00:00:00Z,Governor of Alabama
Rufus W. Cobb,1913-11-26T00:00:00Z,Governor of Alabama
Reuben Chapman,1882-05-16T00:00:00Z,Governor of Alabama
George S. Houston,1879-12-31T00:00:00Z,Governor of Alabama
Thomas Seay,1896-03-30T00:00:00Z,Governor of Alabama
Uriel Sebree,1922-08-06T00:00:00Z,Governor of American Samoa
Gordon Persons,1965-05-29T00:00:00Z,Governor of Alabama
Arthur P. Bagby,1858-09-21T00:00:00Z,Governor of Alabama
William F. Packer,1870-09-27T00:00:00Z,Governor of Pennsylvania
Raymond P. Shafer,2006-12-12T00:00:00Z,Governor of Pennsylvania
Daniel H. Hastings,1903-01-09T00:00:00Z,Governor of Pennsylvania
John Stuchell Fisher,1940-06-25T00:00:00Z,Governor of Pennsylvania
John W. Leedy,1935-03-24T00:00:00Z,Governor of Kansas
