fn,date,lat,lon,cname
1201,Carleton College
1203,Pennsylvania State University
1205,Columbia University
1205,Pratt Institute
1207,Lincoln University
1209,Adelphi University
1210,Columbia University
1210,Northwestern University
1211,Columbia University
1213,York University
1213,Massachusetts Institute of Technology
1213,New York University
1213,York University
1217,Texas Tech University
1218,Langston University
1219,Lawrence University
1219,St. Lawrence University
1222,Columbia University
1222,Massachusetts Institute of Technology
1222,Williams College
1225,Case Western Reserve University
1226,Columbia University
1226,University of Illinois
1227,University of Chicago
1227,University of Pittsburgh
1229,Pennsylvania State University
1230,Roanoke College
1232,Bowdoin College
1232,Williams College
1233,Columbia College
1233,Columbia University
1236,Harvard University
1236,Stanford University
1238,York University
1238,New York University
1238,York University
1239,Massachusetts Institute of Technology
1240,City University
1240,City University
1240,City University
1241,Boston University
1243,University of New Hampshire
1246,Columbia College
1248,National University
1248,National University
1248,Bennington College
1248,National University
1248,University of Bridgeport
1252,University of New Orleans
1255,McGill University
1255,Tufts University
1256,Duke University
1257,Purdue University
1261,Rhode Island School of Design
1266,Northeastern University
1266,DePauw University
1266,Harvard University
1266,Northeastern University
1275,Columbia University
1284,"University of California, Berkeley"
1287,Harvard University
1287,Miami University of Ohio
1287,Stanford University
1287,University of Chicago
1287,Yale University
1288,Cornell University
1288,Harvard University
1290,Manhattan College
1290,Massachusetts Institute of Technology
1291,Wellesley College
1291,William Paterson University
1292,Northwestern University
1293,Morehouse College
1294,Syracuse University
1295,Howard University
1296,City University
1296,City University
1296,City University
1297,Columbia University
1298,Harvard University
1301,York University
1301,Cornell University
1301,New York University
1301,York University
1304,York University
1304,New York University
1304,York University
1305,Harvard University
1306,Smith College
1308,Harvard University
1308,University of Virginia
1310,University of Rochester
1310,Yale University
1311,West Virginia University
1313,Princeton University
1313,Rice University
1314,Willamette University
1315,Academy of Arts
1315,Union College
1317,Harvard University
1317,Northwestern University
1318,Columbia University
1318,Yale University
1320,Manhattan School of Music
1323,Livingstone College
1324,Yale University
1325,York University
1325,Columbia University
1325,New York University
1325,York University
1330,University of Padua
1331,Texas A&M University
1331,United States Military Academy
1332,Columbia College
1332,York University
1332,New York University
1332,York University
1333,Boston College
1333,Clark University
1335,Princeton University
1335,Skidmore College
1337,University of Oklahoma
1338,St. Olaf College
1339,Dartmouth College
1339,University of Oregon
1340,Mississippi College
1345,York University
1345,New York University
1345,York University
1346,Dartmouth College
1347,Lafayette College
1347,Massachusetts Institute of Technology
1349,York University
1349,Long Island University
1349,New York University
1349,York University
1350,University of Texas
1351,York University
1351,Arizona State University
1351,New York University
1351,York University
1352,Boston College
1353,Hamilton College
1354,Columbia University
1358,Rabindra Bharati University
1358,Stanford University
1360,University of Miami
1361,Johns Hopkins University
1361,Yale University
1364,Tufts University
1365,Princeton University
1366,Amherst College
1366,Northwestern University
1369,University of Oxford
1370,State University of New York at Stony Brook
1372,Emory University
1372,Furman University
1383,Boston University
1383,Massachusetts Institute of Technology
1384,Wake Forest University
1385,Morehouse College
1387,Columbia University
1387,Manhattan College
1387,Marymount Manhattan College
1387,Vassar College
1388,York University
1388,Baylor College of Medicine
1388,New York University
1388,York University
1389,York University
1389,New York University
1389,York University
1390,University of Kentucky
1392,York University
1392,Hofstra University
1392,New York University
1392,York University
1394,University of Oklahoma
1394,Yale University
1396,University of Southern California
1400,Hastings College
1402,York University
1402,New York University
1402,York University
1406,Marquette University
1407,Knoxville College
1408,York University
1408,New York University
1408,York University
1413,Cornell University
1413,Johns Hopkins University
1413,University of Mississippi
1413,University of Pennsylvania
1413,Yale University
1416,United States Naval Academy
1429,Columbia University
1430,Johns Hopkins University
1430,Pennsylvania State University
1430,University of Florida
1430,Yale University
1431,Bar-Ilan University
1435,Tuskegee University
1437,Fordham University
1438,University of Pennsylvania
1443,Johns Hopkins University
1444,Columbia University
1444,Ohio State University
1444,University of Illinois
1448,American University
1448,American University
1448,University of Pennsylvania
1450,Brandeis University
1452,Brandeis University
1452,University of Chicago
1452,University of Pennsylvania
1452,University of Virginia
1454,California Institute of Technology
1454,Reed College
1459,Brooklyn Law School
1460,Alma College
1461,Howard University
1462,University of Southern California
1466,Cornell University
1467,Carleton College
1467,Kalamazoo College
1467,Swarthmore College
1467,University of Chicago
1468,University of Toronto
1471,University of Reading
1471,California Institute of Technology
1473,University of Sydney
1473,University of Oxford
1473,University of Sussex
1474,Ithaca College
1476,American University
1476,American University
1476,University of South Dakota
1477,University of Houston
1477,University of Oklahoma
1479,Academy of Arts
1480,Yale University
1481,George Washington University
1483,State University of New York at Buffalo
1487,Skidmore College
1488,Columbia University
1492,Columbia University
1494,University of Pennsylvania
1495,Stanford University
1496,Australian National University
1496,University of Tasmania
1496,National University
1496,National University
1496,Cornell University
1496,National University
